Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
. that the original Glastonbury thorn grew from the staff of St Joseph of Arimathea,the staff of St Joseph of Arimathea,OF,St Joseph of Arimathea,Def-pn,n,Anim,the staff,n,Inanim
 - in the grounds of the Roman Catholic church a little further on,the grounds of the Roman Catholic church a little further on,OF,the Roman Catholic church a little further on,Def,n,Inanim,the grounds,n,Inanim
. and also in the grounds of the girls' high school at Fitzroy,the grounds of the girls' high school at Fitzroy,OF,the girls' high school at Fitzroy,Def,n,Inanim,the grounds,n,Inanim
. King one time superintend the first superintendent of the province,the first superintendent of the province,OF,the province,Def,n,Inanim,the first superintendent,n,Anim
 - one of the most beautiful cabbage trees that one could imagine is growing in the garden of Mr Joe Lobb at Westown,the garden of Mr Joe Lobb,OF,Mr Joe Lobb,Def-pn,n,Anim,the garden,n,Inanim
. strangely enough it is growing on the top of a hill,the top of a hill,OF,a hill,Indef,n,Anim,the top,n,Inanim
 - it it has the effect of a hundred and fifty cabbage trees gathered into one immense posy,the effect of a hundred and fifty cabbage trees gathered into one immense posy,OF,a hundred and fifty cabbage trees gathered into one immense posy,Indef,n,Inanim,the effect,n,Inanim
. before the arrival of the . Pakeha,the arrival of the . Pakeha,OF,the Pakeha,Def,n,Inanim,the arrival,n,Inanim
. out on the top of a hill besides other native trees but the rimus on the top of the hill are really wonderful,the top of a hill,OF,a hill,Indef,n,Inanim,the top,n,Inanim
. out on the top of a hill besides other native trees but the rimus on the top of the hill are really wonderful,the top of the hill,OF,the hill,Def,n,Inanim,the top,n,Inanim
. the scene of the Koru Pa,. the scene of the Koru Pa,OF,the Koru Pa,Def,n,Inanim,the scene,n,Inanim
. on the top of the hill . about two mile airline,the top of the hill .,OF,the hill,Def,n,Inanim,the top,n,Inanim
. the site of the present coolstores . near the port,. the site of the present coolstores .,OF,the present coolstores,Def,n,Inanim,the site,n,Inanim
. and also in the grounds of the girls' high school at Fitzroy,the girls' high school,S,the girls,Def,n,Anim,high school,n,Inanim
. chief of the Ngamotu pa,. chief of the Ngamotu pa,OF,the Ngamotu pa,Def,n,Inanim,chief,n,Anim
. is the monument erected to mark the site of the first landing,the site of the first landing,OF,the first landing,Def,n,Inanim,the site,n,Inanim
. is the grave of Richard Barrett,the grave of Richard Barrett,OF,Richard Barrett,Def-pn,n,Anim,the grave,n,Inanim
. prior to the arrival of the first settlers,the arrival of the first settlers,OF,the first settlers,Def,n,Anim,the arrival,n,Inanim
. to mark the boundary of the white man's domain,the boundary of the white man's domain,OF,the white man's domain,Def,n,Inanim,the boundary,n,Inanim
. to mark the boundary of the white man's domain,the white man's domain,S,the white man,Def,n,Inanim,domain,n,Inanim
 - it stands at the intersection of Smart Road . and Devon Street -,the intersection of Smart Road . and Devon Street -,OF,Smart Road and Devon Street,Def-pn,n,Inanim,the intersection,n,Inanim
 - of course from the point of view of defence,the point of view of defence,OF,defence,Indef,n,Inanim,the point of view,n,Inanim
. will greatly assist in the preservation of this one time strong fortification -,the preservation of this one time strong fortification -,OF,this one time strong fortification,Def,n,Inanim,the preservation,n,Inanim
on the highest point of the Kaitake Ranges,the highest point of the Kaitake Ranges,OF,the Kaitake Ranges,Def,n,Inanim,the highest point,n,Inanim
. the level ground on the top of the hill,the top of the hill,OF,the hill,Def,n,Inanim,the top,n,Inanim
. the top of the hill is in two parts,. the top of the hill,OF,the hill,Def,n,Inanim,the top,n,Inanim
. giving the effect of a narrow path,the effect of a narrow path,OF,a narrow path,Indef,n,Inanim,the effect,n,Inanim
 - on the three sides of this refuge,the three sides of this refuge,OF,this refuge,Def,n,Inanim,the three sides,n,Inanim
. of the age of this apparently last place of refuge,the age of this apparently last place of refuge,OF,this apparently last place of refuge,Def,n,Inanim,the age,n,Inanim
. and the rough nature of the country,the rough nature of the country,OF,the country,Def,n,Inanim,the rough nature,n,Inanim
. drove the Taranaki tribes southward away from the home of their ancestors,the home of their ancestors,OF,their ancestors,Def,n,Anim,the home,n,Inanim
 - another progressive step was accomplished under the immigration scheme of Sir Julius Vogel,the immigration scheme of Sir Julius Vogel,OF,Sir Julius Vogel,Def-pn,n,Anim,the immigration scheme,n,Inanim
. with one or two children coming from the villages and farms of the old country,the villages and farms of the old country,OF,the old country,Def,n,Inanim,the villages and farms,n,Inanim
 - I have often heard the story of their delight,the story of their delight  . on their first purchase  . of a leg of mutton for two and sixpence,OF,their delight on their first purchase of a leg of mutton for two and sixpence,Def,n,Inanim,the story,n,Inanim
 - the story of this family is similar to many others in their ups and downs of life,the story of this family,OF,this family,Def,n,Inanim,the story,n,Inanim
. this is the story of many men in the same ship,the story of many men in the same ship,OF,many men in the same ship,Indef,n,Anim,the story,n,Inanim
they are . about I have met many of the descendants of those same . shipmates .,the descendants of those same . shipmates .,OF,those same shipmates,Def,n,Anim,the descendants,n,Anim
. before the introduction of refrigerating space for instance,the introduction of refrigerating space,OF,refrigerating space,Indef,n,Inanim,the introduction,n,Inanim
and dig the potatoes all day for the winter supply of his family,the winter supply of his family,OF,his family,Def,n,Inanim,the winter supply,n,Inanim
and its collection and sale provided many a farmer's wife,many a farmer's wife,S,many a farmer,Indef,n,Anim,wife,n,Anim
. the im immigration scheme of Sir Julius Vogel was undoubtedly a benefit,. the im immigration scheme of Sir Julius Vogel,OF,Sir Julius Vogel,Def-pn,n,Anim,the immigration scheme,n,Inanim
. the bottom of the . wagon was filled with straw,. the bottom of the . wagon,OF,the wagon,Def,n,Inanim,the bottom,n,Inanim
. I can remember the introduction of the safety bicycle,the introduction of the safety bicycle,OF,the safety bicycle,Def,n,Inanim,the introduction,n,Inanim
that was even before the introduction of the pneumatic tyre,the introduction of the pneumatic tyre,OF,the pneumatic tyre,Def,n,Inanim,the introduction,n,Inanim
in the life of the early colonists,the life of the early colonists,OF,the early colonists,Def,n,Anim,the life,n,Inanim
. celebrating the land the site of the landing of the early settlers,the site of the landing of the early settlers,OF,the landing of the early settlers,Def,n,Inanim,the site,n,Inanim
. celebrating the land the site of the landing of the early settlers,the landing of the early settlers,OF,the early settlers,Def,n,Anim,the landing,n,Inanim
. the grave of [Pohorama?] Te Witi,. the grave of [Pohorama?] Te Witi,OF,Pohorama Te Witi,Def-pn,n,Anim,the grave,n,Inanim
. the stone of the Reverend John Whiteley,. the stone of the Reverend John Whiteley,OF,the Reverend John Whiteley,Def,n,Anim,the stone,n,Inanim
. we've also the site of the first commercial flour mill in New Zealand,the site of the first commercial flour mill in New Zealand,OF,the first commercial flour mill in New Zealand,Def,n,Inanim,the site,n,Inanim
. it is also the site of a very . fierce and bloody fight,the site of a very . fierce and bloody fight,OF,a very fierce and bloody fight,Indef,n,Inanim,the site,n,Inanim
. the Maoris . before the . arrival of the white man,the . arrival of the white man,OF,the white man,Def,n,Inanim,the arrival,n,Inanim
the . intersection of Vivian street . and Carrington road,the . intersection of Vivian street . and Carrington road,OF,Vivian street and Carrington road,Def-pn,n,Inanim,the intersection,n,Inanim
. is the site of the first commercial . flour mill . in New Zealand,the site of the first commercial . flour mill . in New Zealand,OF,the first commercial flour mill in New Zealand,Def,n,Inanim,the site,n,Inanim
that the deeds of the early settlers,the deeds of the early settlers,OF,the early settlers,Def,n,Anim,the deeds,n,Inanim
I was at the foot of the hill in eight minutes under the hour .,the foot of the hill,OF,the hill,Def,n,Inanim,the foot,n,Inanim
but the worst of the job . sir we never got daylight . <uh huh>,the worst of the job .,OF,the job,Def,n,Inanim,the worst,n,Inanim
he went to the top of the hill sometimes to the Nevis,the top of the hill,OF,the hill,Def,n,Inanim,the top,n,Inanim
a  a good day's work to come to the Nevis here .,a good day's work,S,a good day,Indef,n,Inanim,work,n,Inanim
called after him he was born in on on on third of George Grey's day visit to Cromwell .  and,George Grey's day visit to Cromwell .,S,George Grey,Def-pn,n,Anim,visit to Cromwell,n,Inanim
mayor of Cromwell,mayor of Cromwell,OF,Cromwell,Def-pn,n,Inanim,mayor,n,Anim
he was the fir~ the Mayor of Cromwell when Sir George Grey was here .,the Mayor of Cromwell,OF,Cromwell,Def-pn,n,Inanim,the Mayor,n,Anim
on the side of the hill . that's where we were living .,the side of the hill .,OF,the hill,Def,n,Inanim,the side,n,Inanim
you could it tell it in the action of the horses one foot would go down too far .,the action of the horses,OF,the horses,Def,n,Anim,the action,n,Inanim
I do that . I saved that man's horse's life too,that man's horse's life,S,that man's horse,Def,n,Anim,life,n,Inanim
I do that . I saved that man's horse's life too,that man's horse,S,that man,Def,n,Anim,horse,n,Anim
he did it and he got w~ he he had too much on when he got to Tom Smith's turn,Tom Smith's turn,S,Tom Smith,Def-pn,n,Anim,turn,n,Inanim
point of the pole was clear . and we got her out .,the .  point of the pole,OF,the pole,Def,n,Inanim,the point,n,Inanim
holding one's head between his legs here .,one's head,S,one,Indef,n,Anim,head,n,Inanim
shafter . well there was a mess . I had to jump to the back of the dray .,the back of the dray .,OF,the dray,Def,n,Inanim,the back,n,Inanim
cold water yes shivering after a hard day's pulling .,a hard day's pulling .,S,a hard day,Indef,n,Inanim,pulling,n,Inanim
and ahh old Harry would get on the top of the blessed horse and ride him through the water .,the top of the blessed horse,OF,the blessed horse,Def,n,Anim,the top,n,Inanim
and I I could see I was sure then he was wobbling on the top of the horse .,the top of the horse .,OF,the horse,Def,n,Anim,the top,n,Inanim
. at the slaughter house and they came across the donkey's skin,the donkey's skin,S,the donkey,Def,n,Anim,skin,n,Inanim
climb up and they'd . fall and get caught <in the forks> of the tree,the forks> of the tree,OF,the tree,Def,n,Inanim,the forks,n,Inanim
as it happens my father was the . secretary of the race club,the . secretary of the race club,OF,the race club,Def,n,Inanim,the secretary,n,Anim
and they were just astounding compared to the . figures of today,the . figures of today,OF,today,Def,n,Inanim,the figures,n,Inanim
. th~ the amount of the expenses . and the amount of the stakes,the amount of the expenses .,OF,the expenses,Def,n,Inanim,the amount,n,Inanim
. th~ the amount of the expenses . and the amount of the stakes,the amount of the stakes,OF,the stakes,Def,n,Inanim,the amount,n,Inanim
and incidentally the . hill at the back of Waikouaiti is,the back of Waikouaiti,OF,Waikouaiti,Def-pn,n,Inanim,the back,n,Inanim
called after Mrs Derdan's husband Mount Derdan,Mrs Derdan's husband,S,Mrs Derdan,Def-pn,n,Anim,husband,n,Anim
of the early days when the passengers were arriving at the rate of six hundred a day and going through and up the,the . boom  of the early days,OF,the early days,Def,n,Inanim,the boom,n,Inanim
and . they were working on the other side of the river,the other side of the river,OF,the river,Def,n,Inanim,the other side,n,Inanim
. a few miles the other side of the Kyeburn,the other side of the Kyeburn,OF,the Kyeburn,Def,n,Inanim,the other side,n,Inanim
that used to . be brought from Queen Charlotte Sound that seems to have been the source of the timber in those days,the source of the timber,OF,the timber,Def,n,Inanim,the source,n,Inanim
there was the remains of a shed an old shed,the remains of a shed an old shed,OF,an old shed,Indef,n,Inanim,the remains,n,Inanim
. this was the name of the ship it's the Julius Vogel it was the Julius Vogel,the name of the ship,OF,the ship,Def,n,Inanim,the name,n,Inanim
. and . Von Temps- eh Von Tempsky's Rangers too,Von Tempsky's Rangers,S,Von Tempsky,Def-pn,n,Anim,Rangers,n,Anim
. somewhere about the first day of the battle,the first day of the battle,OF,the battle,Def,n,Inanim,the first day,n,Inanim
